,City_Name
0,רמתגן
1,רמתישי
2,תלאביביפו
3,אשדוד
4,קדימהצורן
5,ירושלים
6,רמלה
7,נהריה
8,ראשוןלציון
9,חולון
10,חיפה
11,שדרות
12,אשקלון
13,רחובות
14,גבעתשמואל
15,חדרה
16,בתים
17,ראשלצ
18,פתחתקווה
19,הודהשרון
20,הרצליה
21,אורעקיבא
22,בארשבע
23,כפרתבור
24,נתניה
25,לוד
26,קריתאונו
27,בורגתה
28,עזריה
29,סביון
30,רמתגןפונהליםמדהימהאחתויחידהמושקעת
31,ביתשמש
32,קריתעקרון
33,אירוס
34,מזכרתבתיה
35,בניברק
36,טבריה
37,רמתגןמגדלסיטיטאוורלאונארדושרתון
38,רמתגןסיטיטאוורטאוארפונהלים
39,רמתהשרון
40,באריעקב
41,ביתשאן
42,בוסתןהגליל
43,אבןיהודה
44,נשר
45,נווהאילן
46,חריש
47,רעננה
48,פראשוןלציון
49,מעלהאפרים
50,תלאביב
51,אוריהודה
52,פרדסחנהכרכור
53,נוהחוף
54,רמתגןמגדלסיטיטאוור
55,קרנישומרון
56,קריתים
57,קריתגת
58,יהודמונוסון
59,עפולה
60,ירוחם
61,טירתכרמל
62,ביתרעילית
63,קריתמוצקין
64,ערד
65,גבעתיים
66,נסציונה
67,דימונה
68,יבנה
69,אזור
70,קיסריה
71,קריתביאליק
72,כפריונה
73,קדומים
74,מודיעיןמכביםרעות
75,קריתמלאכי
76,יקנעם
77,קריתאתא
78,שוהם
79,אדמית
80,חצורהגלילית
81,אריאל
82,יירושלים
83,כפרסבא
84,עכו
85,Netanya
86,צפת
87,קריתג
88,מעלותתרשיחא
89,כורזים
90,זכרוןיעקב
91,מגדלהעמק
92,רכסים
93,יקנעםעילית
94,יקנעםעלית
95,TelAviv
96,אילת
97,נתיבות
98,קמלאכי
99,גניתקווה
100,גבעתאבני
101,בנימינה
102,כרמיאל
103,נווהמיכאל
104,בארשב
105,עמנואל
106,תלציון
107,גבעתזאב
108,מצפהשלם
109,קיריתים
110,צורהדסה
111,ידחנה
112,רמון
113,יפוד
114,פרדסיה
115,קריתחיים
116,reפתחתקווה
117,עפולהעילית
118,אחוזתברק
119,שדהצבי
120,צוריצחק
121,חוקוק
122,מטולה
123,שלומי
124,ראשון
125,מודיעיןעילית
126,מצפהרמון
127,אבניחפץ
128,מבשרתציון
129,ורדון
130,נופים
131,Tנהריה
132,אלעד
133,ראשהעין
134,תלמונד
135,נתני
136,לימן
137,נוגה
138,פתחתקוה
139,גבעבנימיןאדם
140,גבעתעדה
141,עתלית
142,קריתארבע
143,Nazarethillit
144,קריתשמונה
145,בארותיים
146,ביתןאהרן
147,חבצלתהשרון
148,בצרה
149,עיןהעמק
150,מכמורת
151,חיבת
152,הדרעם
153,ביתהלוי
154,כפרויתקין
155,כפרמונש
156,אביחיל
157,בניציון
158,גבעתחן
159,חיבתציון
160,חגלה
161,מונש
162,אודים
163,חרוצים
164,ביתיצחקשערחפר
165,מעלהאדומים
166,ביתיהושע
167,קציר
168,אורנית
169,קלערמתהגולן
170,רמותמאיר
171,מיתר
172,שניליבנה
173,ניויורק
174,אלפימנשה
175,אומן
176,מרחביהמושב
177,ריחן
178,עוספיה
179,יהוד
180,ינוב
