,Type house,City,Street,Num of rooms,Floor,Price,Bars,Furniture,Elevator,Terrace,Parking,Size of house per mm
0,דירה,רמת גן,משה שרת,5,1,"3,120,000 ₪",1,0,1,0,1,114
1,דו משפחתי,רמת גן,יד שלום,4,1,"4,480,000 ₪",0,0,0,1,1,140
2,דו משפחתי,רמת ישי,פיקוס 5,6,קרקע,"2,250,000 ₪",1,0,0,1,1,180
3,דירה,רמת גן,שלם,3,1,"2,150,000 ₪",0,0,0,0,0,80
4,דירה,תל אביב יפו,הפלמ''ח,3,2,"2,500,000 ₪",1,1,0,1,1,100
5,דירה,אשדוד,רמב''ם,3,2,"1,200,000 ₪",1,1,0,0,0,75
6,דירה,תל אביב יפו,אורי צבי גרינברג,5,8,"5,250,000 ₪",0,1,1,1,1,130
7,קוטג,קדימה צורן,הפלמ''ח,5,קרקע,"4,500,000 ₪",0,0,0,1,1,240
8,וילה,ירושלים,האייל,6,קרקע,"16,800,000 ₪",0,0,1,1,1,678
9,דירה,ירושלים,יוסף בורג,2,6,"2,400,000 ₪",0,0,1,1,1,77
10,דירה,רמלה,ישראל פוליאקוב,4,3,"1,829,000 ₪",0,0,1,1,1,104
11,דירה,אשדוד,יהויכין המלך 15/23,4,6,"1,750,000 ₪",1,1,1,1,0,112
12,דירה,באר שבע,שדרות רגר 51 באר שבע,5,15,"2,000,000 ₪",0,0,1,1,1,
13,בית פרטי,נהריה,הרצל ,9,קרקע,"2,650,000 ₪",1,0,0,1,1,333
14,בית פרטי,ראשון לציון,ברנר,7,קרקע,"4,400,000 ₪",1,0,0,1,1,300
15,קוטג,חולון,ארלוזורוב,6,3,"4,000,000 ₪",1,1,1,1,0,160
16,דירה,תל אביב יפו,בן יהודה 168,5,קרקע,"5,700,000 ₪",0,0,0,0,0,200
17,דירה,חיפה,הרצל,4,1,"950,000 ₪",0,0,0,0,0,90
18,דירה,שדרות,נחל אשלים ,4,4,"1,150,000 ₪",0,0,1,1,1,121
19,דירה,אשקלון,בית אל,5,2,"1,450,000 ₪",0,1,1,1,1,116
20,דירה,רחובות,אהרון אייזנברג,4,1,"2,230,000 ₪",1,1,1,1,1,110
21,דירה,רחובות,פקיעין,4,3,"1,740,000 ₪",1,1,1,1,1,105
22,דירת גג,גבעת שמואל,מוטה גור ,6,17,"5,300,000 ₪",0,0,1,1,1,177
23,דירה,חדרה,הנשיא וייצמן,3.5,2,"1,400,000 ₪",0,0,0,1,0,116
24,דירה,גבעת שמואל,מוטה גור,5,1,"2,800,000 ₪",0,0,1,1,1,132
25,דירה,בת ים,דרום מערב,3.5,6 ,"1,770,000 ₪",0,0,1,0,1,80
26,דירה,בת ים,בית וגן,3,1 ,"1,450,000 ₪",0,0,0,1,1,75
27,דירה,"ראשל""צ","רמב""ם",4.5,5 ,"2,190,000 ₪",0,0,1,1,1,125
28,דירת גג,פתח תקווה,מרכז,3.5,3 ,"1,530,000 ₪",0,0,0,0,1,84
29,דירת גן,תל אביב יפו,מרכז,3,-1,"5,880,000 ₪",0,0,0,1,0,160
30,דירה,ירושלים,רמת בית הכרם,4,3 ,"3,050,000 ₪",1,0,1,1,1,84
31,דירה,רמת גן,תל גנים,5,14,"4,350,000 ₪",0,1,1,1,1,180
32,דופלקס,תל אביב יפו,נוה צדק,4,0,"6,250,000 ₪",0,0,0,1,0,110
33,דירה,פתח תקווה,שיפר,5,3 ,"1,960,000 ₪",0,0,1,1,1,109
34,דירה,פתח תקווה,כפר גנים א,4,2 ,"1,790,000 ₪",0,0,1,0,1,
35,דירה,ירושלים,ניות,5,3 ,,0,0,0,0,1,125
36,פנטהאוז,תל אביב יפו,כוכב הצפון,10,9 ,"17,900,000 ₪",1,1,1,1,1,320
37,דירה,תל אביב יפו,קו הים,2,4 ,"3,490,000 ₪",0,1,1,1,0,55
38,דירה,תל אביב יפו,לב העיר,3,5 ,"7,100,000 ₪",0,0,1,1,1,110
39,דירה,רמת גן,מתחם הבורסה,3,1 ,"2,560,000 ₪",0,0,1,1,1,80
40,פנטהאוז,"ראשל""צ",נווה שקמה,6.5,11,"3,450,000 ₪",1,0,1,1,1,160
41,בית פרטי,הוד השרון,גיל עמל,6,0,"3,800,000 ₪",1,1,1,1,1,350
42,דירה,פתח תקווה,מרכז,3,4 ,"1,490,000 ₪",0,0,1,0,1,80
43,דירה,הרצליה,הצעירה,4.5,1 ,"3,490,000 ₪",1,0,1,1,1,140
44,דירה,ירושלים,בית הכרם,4,1 ,"3,450,000 ₪",0,0,1,1,1,101
45,דירה,אור עקיבא,שדרות הנשיא וייצמן,5.5,10,"2,000,000 ₪",0,0,1,1,1,120
46,דירה,ראשון לציון,הגדוד העברי 83,4,3,"1,750,000 ₪",1,1,1,1,1,100
47,דירה,תל אביב יפו,מלצ'ט,2.5,4,"3,000,000 ₪",0,0,0,1,0,65
48,דירה,פתח תקווה,מבצע דקל,5,12,,1,1,1,1,1,140
49,דירה,חיפה,מסדה,4,קרקע,"780,000 ₪",1,0,0,0,0,68
50,דירה,באר שבע,יהודה הלוי,4,7,"995,000 ₪",0,0,1,1,1,127
51,בית פרטי,כפר תבור,גפן,2.5,קרקע,"3,100,000 ₪",0,0,0,1,1,70
52,דירה,רמת גן,הרואה,2,1,"1,320,000 ₪",0,0,0,1,1,55
53,דירה,שדרות,יערה,4,3,"720,000 ₪",0,1,0,0,0,66
54,דירה,תל אביב יפו,מזא''ה,2.5,3,"3,300,000 ₪",0,0,1,1,0,65
55,דירה,חיפה,לוטוס,4,2,"1,700,000 ₪",0,0,1,1,1,100
56,דו משפחתי,רעננה,מכבי,6,קרקע,"4,750,000 ₪",0,0,0,1,1,
57,דירה,בת ים,הרב מיימון,3,3,"16,000,000 ₪",1,0,1,0,1,80
58,דירה,בת ים,הרב מיימון,3,3,"16,000,000 ₪",1,0,1,0,1,80
59,דירה,נתניה,עוזי חיטמן,5,9,"2,900,000 ₪",0,1,1,1,1,148
60,דירה,תל אביב יפו,מלצ'ט,2.5,4,"3,000,000 ₪",0,0,0,1,0,67
61,דירה,תל אביב יפו,מלצ'ט,2.5,3,"2,600,000 ₪",0,0,0,1,1,65
62,דירה,נתניה,עוזי חיטמן,5,9,"2,950,000 ₪",0,1,1,1,1,140
63,דירה,תל אביב יפו,רופין,4,3,"5,500,000 ₪",0,1,1,1,1,125
64,דירה,לוד,במיקום הכי טוב,3,2,"1,200,000 ₪",1,0,0,0,1,64
65,דירה,קרית אונו,יצחק רבין,4,13,"2,750,000 ₪",0,1,1,1,1,123
66,דירה,ראשון לציון,הנרקיס,5,2,"1,920,000 ₪",1,0,1,1,1,95
67,בית פרטי,בורגתה,דרך הארז,7,קרקע,"4,800,000 ₪",0,0,0,0,1,880
68,דירה,רמת גן,הרי גלעד,2,18,"2,500,000 ₪",0,1,1,1,1,78
69,בית פרטי,עזריה,הזית,6,קרקע,"8,000,000 ₪",0,0,0,0,0,2000
70,דירה,תל אביב יפו,לב העיר,3,1 ,"3,480,000 ₪",0,0,1,0,0,65
71,בית פרטי,סביון,סביון הוותיקה,6,0,"7,300,000 ₪",0,1,0,1,1,1110
72,דירה,תל אביב יפו,קו הים,4,3 ,"10,080,000 ₪",0,0,1,1,1,113
73,דירה,"ראשל""צ","רמב""ם",4.5,5 ,"2,050,000 ₪",0,0,1,1,1,125
74,דירה,תל אביב יפו,רמת אביב ג,5,11,"10,000,000 ₪",1,1,1,1,1,210
75,בית פרטי,תל אביב יפו,הדר יוסף,6,0,"12,000,000 ₪",0,0,0,0,0,560
76,דירת גן,ירושלים,בית הכרם,3,0,"3,200,000 ₪",0,1,0,1,0,80
77,דופלקס,תל אביב יפו,לב העיר,3,5 ,"6,850,000 ₪",0,0,1,1,1,129
78,דירה,רמת גן פונה לים מדהימה אחת ויחידה מושקעת ,מתחם הבורסה מגדל סיטי טאוואר ,3,30,"3,300,000 ₪",0,1,1,0,1,95
79,דירה,תל אביב יפו,בבלי,3,4 ,"3,500,000 ₪",0,0,1,1,1,71
80,דירת גן,תל אביב יפו,הצפון הישן,3,0,"4,050,000 ₪",0,0,0,0,0,130
81,דירה,פתח תקווה,ביהח השרון,4,4 ,"1,870,000 ₪",0,0,1,1,1,100
82,דירה,פתח תקווה,כפר גנים א,4.5,2 ,"1,890,000 ₪",0,0,1,0,1,106
