,Street,Num of rooms,Floor,Price,Bars,Furniture,Elevator,Terrace,Parking,Size of house per mm,Numbers_for_Type_house_in_df,Numbers_for_Cities_in_df
0,משה שרת,5.0,1,3120000.0,2,1,2,1,2,114.0,1,1
1,יד שלום,4.0,1,4480000.0,1,1,1,2,2,140.0,2,1
2,פיקוס 5,6.0,0,2250000.0,2,1,1,2,2,180.0,2,2
3,שלם,3.0,1,2150000.0,1,1,1,1,1,80.0,1,1
4,הפלמ''ח,3.0,2,2500000.0,2,2,1,2,2,100.0,1,3
5,רמב''ם,3.0,2,1200000.0,2,2,1,1,1,75.0,1,4
6,אורי צבי גרינברג,5.0,8,5250000.0,1,2,2,2,2,130.0,1,3
7,הפלמ''ח,5.0,0,4500000.0,1,1,1,2,2,240.0,3,5
8,יוסף בורג,2.0,6,2400000.0,1,1,2,2,2,77.0,1,6
9,ישראל פוליאקוב,4.0,3,1829000.0,1,1,2,2,2,104.0,1,7
10,יהויכין המלך 15/23,4.0,6,1750000.0,2,2,2,2,1,112.0,1,4
11,הרצל ,9.0,0,2650000.0,2,1,1,2,2,333.0,5,8
12,ברנר,7.0,0,4400000.0,2,1,1,2,2,300.0,5,9
13,ארלוזורוב,6.0,3,4000000.0,2,2,2,2,1,160.0,3,10
14,בן יהודה 168,5.0,0,5700000.0,1,1,1,1,1,200.0,1,3
15,הרצל,4.0,1,950000.0,1,1,1,1,1,90.0,1,11
16,נחל אשלים ,4.0,4,1150000.0,1,1,2,2,2,121.0,1,12
17,בית אל,5.0,2,1450000.0,1,2,2,2,2,116.0,1,13
18,אהרון אייזנברג,4.0,1,2230000.0,2,2,2,2,2,110.0,1,14
19,פקיעין,4.0,3,1740000.0,2,2,2,2,2,105.0,1,14
20,מוטה גור ,6.0,17,5300000.0,1,1,2,2,2,177.0,6,15
21,הנשיא וייצמן,3.0,2,1400000.0,1,1,1,2,1,116.0,1,16
22,מוטה גור,5.0,1,2800000.0,1,1,2,2,2,132.0,1,15
23,דרום מערב,3.0,6,1770000.0,1,1,2,1,2,80.0,1,17
24,בית וגן,3.0,1,1450000.0,1,1,1,2,2,75.0,1,17
25,"רמב""ם",4.0,5,2190000.0,1,1,2,2,2,125.0,1,18
26,מרכז,3.0,3,1530000.0,1,1,1,1,2,84.0,6,19
27,מרכז,3.0,1,5880000.0,1,1,1,2,1,160.0,7,3
28,רמת בית הכרם,4.0,3,3050000.0,2,1,2,2,2,84.0,1,6
29,תל גנים,5.0,14,4350000.0,1,2,2,2,2,180.0,1,1
30,נוה צדק,4.0,0,6250000.0,1,1,1,2,1,110.0,8,3
31,שיפר,5.0,3,1960000.0,1,1,2,2,2,109.0,1,19
32,קו הים,2.0,4,3490000.0,1,2,2,2,1,55.0,1,3
33,לב העיר,3.0,5,7100000.0,1,1,2,2,2,110.0,1,3
34,מתחם הבורסה,3.0,1,2560000.0,1,1,2,2,2,80.0,1,1
35,נווה שקמה,6.0,11,3450000.0,2,1,2,2,2,160.0,9,18
36,גיל עמל,6.0,0,3800000.0,2,2,2,2,2,350.0,5,20
37,מרכז,3.0,4,1490000.0,1,1,2,1,2,80.0,1,19
38,הצעירה,4.0,1,3490000.0,2,1,2,2,2,140.0,1,21
39,בית הכרם,4.0,1,3450000.0,1,1,2,2,2,101.0,1,6
40,שדרות הנשיא וייצמן,5.0,10,2000000.0,1,1,2,2,2,120.0,1,22
41,הגדוד העברי 83,4.0,3,1750000.0,2,2,2,2,2,100.0,1,9
42,מלצ'ט,2.0,4,3000000.0,1,1,1,2,1,65.0,1,3
43,מסדה,4.0,0,780000.0,2,1,1,1,1,68.0,1,11
44,יהודה הלוי,4.0,7,995000.0,1,1,2,2,2,127.0,1,23
45,גפן,2.0,0,3100000.0,1,1,1,2,2,70.0,5,24
46,הרואה,2.0,1,1320000.0,1,1,1,2,2,55.0,1,1
47,יערה,4.0,3,720000.0,1,2,1,1,1,66.0,1,12
48,מזא''ה,2.0,3,3300000.0,1,1,2,2,1,65.0,1,3
49,לוטוס,4.0,2,1700000.0,1,1,2,2,2,100.0,1,11
50,עוזי חיטמן,5.0,9,2900000.0,1,2,2,2,2,148.0,1,25
51,מלצ'ט,2.0,4,3000000.0,1,1,1,2,1,67.0,1,3
52,מלצ'ט,2.0,3,2600000.0,1,1,1,2,2,65.0,1,3
53,עוזי חיטמן,5.0,9,2950000.0,1,2,2,2,2,140.0,1,25
54,רופין,4.0,3,5500000.0,1,2,2,2,2,125.0,1,3
55,במיקום הכי טוב,3.0,2,1200000.0,2,1,1,1,2,64.0,1,26
56,יצחק רבין,4.0,13,2750000.0,1,2,2,2,2,123.0,1,27
57,הנרקיס,5.0,2,1920000.0,2,1,2,2,2,95.0,1,9
58,דרך הארז,7.0,0,4800000.0,1,1,1,1,2,880.0,5,28
59,הרי גלעד,2.0,18,2500000.0,1,2,2,2,2,78.0,1,1
60,הזית,6.0,0,8000000.0,1,1,1,1,1,2000.0,5,29
61,לב העיר,3.0,1,3480000.0,1,1,2,1,1,65.0,1,3
62,סביון הוותיקה,6.0,0,7300000.0,1,2,1,2,2,1110.0,5,30
63,קו הים,4.0,3,10080000.0,1,1,2,2,2,113.0,1,3
64,"רמב""ם",4.0,5,2050000.0,1,1,2,2,2,125.0,1,18
65,רמת אביב ג,5.0,11,10000000.0,2,2,2,2,2,210.0,1,3
66,הדר יוסף,6.0,0,12000000.0,1,1,1,1,1,560.0,5,3
67,בית הכרם,3.0,0,3200000.0,1,2,1,2,1,80.0,7,6
68,לב העיר,3.0,5,6850000.0,1,1,2,2,2,129.0,8,3
69,מתחם הבורסה מגדל סיטי טאוואר ,3.0,30,3300000.0,1,2,2,1,2,95.0,1,31
70,בבלי,3.0,4,3500000.0,1,1,2,2,2,71.0,1,3
71,הצפון הישן,3.0,0,4050000.0,1,1,1,1,1,130.0,7,3
72,ביהח השרון,4.0,4,1870000.0,1,1,2,2,2,100.0,1,19
73,כפר גנים א,4.0,2,1890000.0,1,1,2,1,2,106.0,1,19
74,שיפר,4.0,2,1900000.0,1,1,2,2,2,105.0,1,19
75,שיפר,3.0,1,1580000.0,2,1,2,1,2,80.0,1,19
76,מערב,3.0,7,1600000.0,2,1,2,1,2,70.0,1,18
77,שעריה,3.0,2,1460000.0,1,1,2,1,2,90.0,1,19
78,בקעה,6.0,1,7300000.0,1,1,2,2,2,150.0,1,6
79,רמת בית הכרם,3.0,4,3050000.0,1,1,2,2,2,113.0,9,6
80,למד החדשה ,5.0,0,9999999.0,1,1,2,2,2,185.0,7,3
81,דוד שמעוני,4.0,2,2100000.0,1,1,2,2,2,100.0,1,14
82,אהרון ציזלינג,4.0,2,890000.0,2,2,2,1,1,100.0,1,23
83,שדרות בן גוריון,5.0,1,2195000.0,2,1,2,2,2,130.0,1,10
84,החשמונאים,4.0,2,1640000.0,2,1,1,1,2,100.0,1,17
85,יהושע רבינוביץ,5.0,2,1950000.0,2,2,2,2,2,115.0,1,10
86,דוד צדוק,4.0,5,1790000.0,1,1,2,1,2,90.0,1,10
87,תל חי,4.0,5,1950000.0,2,2,2,1,2,115.0,1,9
88,"רש""י",4.0,6,1800000.0,1,2,2,1,2,98.0,1,9
89,רחבת טבריה,3.0,5,825000.0,1,2,2,1,2,76.0,1,23
90,סמטת יפתח ,4.0,0,2735000.0,2,1,1,2,2,90.0,2,1
91,גדעון,4.0,1,2750000.0,2,1,1,2,2,88.0,2,1
92,בר אילן,4.0,1,1585000.0,2,2,1,2,1,100.0,1,32
93,פרנק,3.0,4,1050000.0,1,1,2,2,2,80.0,1,16
94,הנורית,5.0,2,1830000.0,1,1,1,2,2,115.0,8,33
95,שדרות יעלים,3.0,4,640000.0,2,2,1,1,2,72.0,1,23
96,בורוכוב,3.0,1,5000000.0,2,1,1,2,1,67.0,1,3
97,הרב מיימון,4.0,6,2250000.0,2,1,2,2,2,120.0,1,17
98,יעקב סלומון 24,4.0,5,1350000.0,1,1,2,2,2,105.0,1,11
99,נחל שורק,10.0,0,1290000.0,1,1,2,2,1,500.0,4,34
100,אלה,6.0,0,3350000.0,2,2,1,2,2,164.0,3,35
101,אינשטיין,10.0,0,12000000.0,1,1,1,1,1,673.0,10,3
102,מור,3.0,0,1510000.0,2,2,2,2,2,190.0,7,11
103,ברנדייס,4.0,7,1410000.0,1,2,2,2,2,114.0,1,16
104,אחדות,4.0,1,1520000.0,1,1,2,1,2,95.0,1,19
105,רמת אביב ג,5.0,9,9900000.0,1,2,2,2,2,148.0,9,3
106,מרכז,3.0,5,1630000.0,1,1,2,1,1,85.0,1,19
107,שיכון ותיקים,3.0,1,1450000.0,1,1,1,1,2,70.0,1,17
108,הצפון הישן,3.0,4,6000000.0,1,1,1,2,2,180.0,6,3
109,כרם התימנים,3.0,2,5800000.0,1,1,2,2,2,92.0,1,3
110,2590תל גיבורים,4.0,0,2590000.0,1,1,1,1,1,122.0,1,10
111,קרית העבודה,4.0,3,1670000.0,1,1,1,1,1,92.0,1,10
112,קרית יובל,2.0,7,770000.0,1,1,2,1,1,59.0,11,6
113,פלורנטין,2.0,4,2500000.0,1,1,2,2,1,50.0,1,3
114,הרצליה ב',4.0,2,3750000.0,1,1,2,2,2,121.0,1,21
115,נאות רחל,3.0,2,1495000.0,1,1,1,1,1,87.0,1,10
116,הלל,10.0,0,11000000.0,1,1,1,2,2,530.0,5,1
117,לב העיר,3.0,0,7500000.0,1,1,2,2,2,90.0,7,3
118,קרול,4.0,9,1850000.0,1,1,2,2,2,112.0,1,19
119,רמת אביב הירוקה,10.0,8,9450000.0,2,2,2,2,2,250.0,1,3
